Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Bando Stone and The New World,"Can You Feel Me [V2]
(feat. Legend)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Features vocals by Donald's son Legend Glover.",,,"Jul 6, 2024",Full,Recording,https://pillows.su/f/dd37cfeb57f7a1f66560b5e313b8ef05
Bando Stone and The New World,"No Excuses [V2]
(prod. Donald Glover & Ludwig Görranson)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Different mixing.",,,"Jul 6, 2024",Full,Recording,Link Needed
Bando Stone and The New World,"Cruisin' [V5]
(feat. Yeat)
(Cruisin Thru Africa)","Updated Dolby mix of Cruisin' added to Apple Music in sometime late 2024, which fixed the censoring but not the outro. However unintentionally also added a bunch of new adlibs featured on the tour and little island versions of the song.",,,"Jul 6, 2024",Full,CD Quality,https://pillows.su/f/f8a2dec1fadd636e79a3c646351527b3
Bando Stone and The New World,"Running Around [V2]
(feat. Fousheé)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Features vocals by Foushee. Contains a seperate instrumental with a guitar before the final chorus, and then has extra Willow background vocals on the outro.",,,"Jul 6, 2024",Full,Recording,https://pillows.su/f/6f1742c3ef2d7990f4f403c66c3ee084
Bando Stone and The New World,Happy Survival [V2],"Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Is a cover of Eddie Okwedy's Happy Survival.",,,"Jul 6, 2024",Full,Recording,Link Needed
Bando Stone and The New World,"A Place Where Love Goes [V3]
(feat. ???) (prod. Ludwig Görranson)","Played at the Little Island Listening Party for 'Bando Stone and The New World' on July 6th, 2024. Contains different vocals of an unkown female most likely Amaarae before the final chorus.",,,"Jul 6, 2024",Full,Recording,Link Needed
Untitled*,⭐ Gun Or God,"OG Filename: GunOrGod_061818
Originally posted to Chances Instagram, the full song was later leaked and info was surfaced that it was a part of Chance x Bino Tape.",1:14,"Jun 18, 2018","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/ddb89918a4cfd80443262adb8ba791ea
Untitled*,⭐ Hell Or High Water,"OG Filename: 01 HellOrHighWater_061318
Two of six snippets leaked by waterfalls on October 16th, 2021. Second snippet re-surfaced on January 4th, 2023 after the OnlyFiles breach. Has vocals only at the beginning and end of the song, with the rest being open. Solo Gambino. Leaked on 7/4/2023.",2:02,"Jun 13, 2018","Jul 4, 2024",OG File,CD Quality,https://pillows.su/f/c8ba445461acac14070501a863ea3aec
Because The Internet,Please Leave a Light On [V1],"OG Filename: PleaseLeaveaLightOnTW1DC8-concept
Cover of the song by Beck. Made in 2013.",3:31,,"Jul 1, 2024",OG File,CD Quality,https://pillows.su/f/5dd9df11fd6c3aa58715ab4b272b5e7d
Because The Internet,⭐ Please Leave a Light On [V2],"OG Filename: PleaseLeaveaLightOn
Cover of the song by Beck. Made in 2013.",3:55,,"Jul 1, 2024",OG File,CD Quality,https://pillows.su/f/ab373b6e6db7b10ab25827e77d5de190
